CellType,annotLevel,p,fold_change,sd_from_mean,GeneSet,Study
Inh_L1_SST_NMBR,2,0.996,0.7981498179754306,-1.9510544160257473,UMI:Astro,AIBS2019
Inh_L2-3_VIP_CASC6,2,0.8279,0.9075775594881187,-0.8947216648118553,UMI:Astro,AIBS2019
Inh_L2-4_PVALB_WFDC2,2,0.9906,0.8471315696163708,-2.183862020807289,UMI:Astro,AIBS2019
Inh_L2-4_SST_FRZB,2,0.9611,0.8438000610169567,-1.3131124501986515,UMI:Astro,AIBS2019
Inh_L2-4_VIP_CBLN1,2,0.7197,0.922203792239859,-0.5870920348833384,UMI:Astro,AIBS2019
Inh_L2-4_VIP_SPAG17,2,0.6226,0.9418682357230115,-0.40548232689728236,UMI:Astro,AIBS2019
Inh_L2-5_PVALB_SCUBE3,2,0.4727,0.9840422018927206,-0.10477653682602261,UMI:Astro,AIBS2019
Inh_L2-5_VIP_SERPINF1,2,0.7338,0.91006919843182,-0.6249432273573843,UMI:Astro,AIBS2019
Inh_L2-5_VIP_TYR,2,0.4328,0.9901728257602366,-0.06746388699199463,UMI:Astro,AIBS2019
Inh_L2-6_LAMP5_CA1,2,0.6783,0.9355435557118431,-0.5288675676324884,UMI:Astro,AIBS2019
Inh_L2-6_VIP_QPCT,2,0.9727,0.8010738601330957,-1.5086145141318719,UMI:Astro,AIBS2019
Inh_L3-5_SST_ADGRG6,2,0.9931,0.815664753216692,-1.9978742743265328,UMI:Astro,AIBS2019
Inh_L3-6_SST_HPGD,2,0.9969,0.7808538110599488,-1.9590335761419868,UMI:Astro,AIBS2019
Inh_L3-6_SST_NPY,2,0.7712,0.8707394677577124,-0.7345542515545456,UMI:Astro,AIBS2019
Inh_L3-6_VIP_HS3ST3A1,2,0.9489,0.8337815624395744,-1.208285348807776,UMI:Astro,AIBS2019
Inh_L4-5_PVALB_MEPE,2,0.8593,0.8926135884156535,-0.854628874538904,UMI:Astro,AIBS2019
Inh_L4-5_SST_STK32A,2,0.9473,0.8371398571079123,-1.107670591499606,UMI:Astro,AIBS2019
Inh_L4-6_PVALB_SULF1,2,0.9894,0.8391692614027206,-2.0333388275813653,UMI:Astro,AIBS2019
Inh_L4-6_SST_B3GAT2,2,0.9975,0.8045834950225251,-2.220662601335109,UMI:Astro,AIBS2019
Inh_L4-6_SST_GXYLT2,2,0.8475,0.8806725767258262,-0.9354894698615538,UMI:Astro,AIBS2019
Inh_L5-6_GAD1_GLP1R,2,0.889,0.8297936004657228,-0.9520344551174956,UMI:Astro,AIBS2019
Inh_L5-6_PVALB_LGR5,2,0.9509,0.8281576610243365,-1.2873030071736546,UMI:Astro,AIBS2019
Inh_L5-6_SST_KLHDC8A,2,0.9959,0.7513216210881168,-1.6565897361281712,UMI:Astro,AIBS2019
Inh_L5-6_SST_MIR548F2,2,0.8583,0.8905519424570983,-0.9089938795023988,UMI:Astro,AIBS2019
Inh_L5-6_SST_NPM1P10,2,0.9955,0.7704447999586344,-1.5562026212020703,UMI:Astro,AIBS2019
Inh_L5-6_SST_TH,2,0.9947,0.7473221526201145,-1.606604339233084,UMI:Astro,AIBS2019
Micro_L1-3_TYROBP,2,0.9579,0.5488770349956106,-1.5297862818750434,UMI:Astro,AIBS2019
OPC_L1-6_PDGFRA,2,4e-4,1.9761888350424106,5.261765170842334,UMI:Astro,AIBS2019
Oligo_L1-6_OPALIN,2,0.3064,1.1064476538655332,0.41622200411544924,UMI:Astro,AIBS2019
Astro_L1-2_FGFR3_GFAP,2,0.0323,1.6627770830104232,2.1470279248173587,UMI:Endo,AIBS2019
Astro_L1-6_FGFR3_SLC14A1,2,0.7789,0.775122624801274,-0.8086282566951881,UMI:Endo,AIBS2019
Endo_L2-6_NOSTRIN,2,0,12.466730220664576,27.625034626719735,UMI:Endo,AIBS2019
Exc_L2-3_LINC00507_FREM3,2,0.9999,0.6751027666287358,-2.883464169140145,UMI:Endo,AIBS2019
Exc_L2-4_LINC00507_GLP2R,2,1,0.611043141808743,-2.3829424684491047,UMI:Endo,AIBS2019
Exc_L2_LAMP5_LTK,2,1,0.5886496561788683,-2.795723884797755,UMI:Endo,AIBS2019
Exc_L3-4_RORB_CARM1P1,2,0.5024,0.975770462354224,-0.16987172649733376,UMI:Endo,AIBS2019
Exc_L3-5_RORB_COL22A1,2,0.9491,0.777985013185813,-1.1613263089017583,UMI:Endo,AIBS2019
Exc_L3-5_RORB_ESR1,2,0.9975,0.7465671870684083,-2.1429446613775798,UMI:Endo,AIBS2019
Exc_L3-5_RORB_FILIP1L,2,0.9871,0.7732153725054233,-1.8720688520867923,UMI:Endo,AIBS2019
Exc_L3-5_RORB_TWIST2,2,0.931,0.7992202271851369,-0.957738841794236,UMI:Endo,AIBS2019
Exc_L4-5_FEZF2_SCN4B,2,1,0.546539661991419,-2.4011366072676017,UMI:Endo,AIBS2019
Exc_L4-5_RORB_DAPK2,2,0.9857,0.7858085198792883,-1.807781920758807,UMI:Endo,AIBS2019
Exc_L4-5_RORB_FOLH1B,2,0.9964,0.7570325762660753,-2.2333727679959057,UMI:Endo,AIBS2019
Exc_L4-6_FEZF2_IL26,2,0.9999,0.5698715288053671,-2.2217249251946813,UMI:Endo,AIBS2019
Exc_L4-6_RORB_C1R,2,0.9956,0.7327813947427506,-2.217950522353546,UMI:Endo,AIBS2019
Exc_L4-6_RORB_SEMA3E,2,0.9986,0.7444573880036061,-2.6814080398879074,UMI:Endo,AIBS2019
Exc_L5-6_FEZF2_ABO,2,0.9999,0.6656530494747996,-2.681153531772567,UMI:Endo,AIBS2019
Exc_L5-6_FEZF2_EFTUD1P1,2,0.9866,0.7662030832671859,-1.6232645594075037,UMI:Endo,AIBS2019
Exc_L5-6_RORB_TTC12,2,0.9689,0.8167762414365392,-1.5433298668059454,UMI:Endo,AIBS2019
Exc_L5-6_SLC17A7_IL15,2,0.9845,0.7386955493491191,-1.3471971644735465,UMI:Endo,AIBS2019
Exc_L5-6_THEMIS_C1QL3,2,0.9995,0.72756541388907,-2.3627679269847075,UMI:Endo,AIBS2019
Exc_L5-6_THEMIS_CRABP1,2,0.9916,0.7189935573361782,-1.741890287705788,UMI:Endo,AIBS2019
Exc_L5-6_THEMIS_DCSTAMP,2,0.9767,0.7379960614837274,-1.334884537757748,UMI:Endo,AIBS2019
